,movie,year,imdb_rate,metascore,votes,rating,genre,runtime_min,grosess
0,The Creator,2023,7.2,63,"31,781",PG-13,"['Action', ' Adventure', ' Drama']",133,-
1,No One Will Save You,2023,6.3,60,"34,685",PG-13,"['Horror', ' Sci-Fi', ' Thriller']",93,-
2,Meg 2: The Trench,2023,5.1,40,"54,356",PG-13,"['Action', ' Adventure', ' Horror']",116,-
3,Elemental,2023,7.0,58,"81,559",PG,"['Animation', ' Adventure', ' Comedy']",101,-
4,PAW Patrol: The Mighty Movie,2023,6.0,52,"1,447",PG,"['Animation', ' Action', ' Adventure']",88,-
5,Blue Beetle,2023,6.1,61,"51,638",PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,-
6,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,7.3,74,"43,348",PG,"['Animation', ' Action', ' Adventure']",99,-
7,Poor Things,2023,8.3,94,"1,588",R,"['Romance', ' Sci-Fi']",141,-
8,Spider-Man: Across the Spider-Verse,2023,8.7,86,"273,845",PG,"['Animation', ' Action', ' Adventure']",140,-
9,Asteroid City,2023,6.6,75,"78,751",PG-13,"['Comedy', ' Drama', ' Romance']",105,-
10,Guardians of the Galaxy Vol. 3,2023,7.9,64,"328,902",PG-13,"['Action', ' Adventure', ' Comedy']",150,-
11,Indiana Jones and the Dial of Destiny,2023,6.7,58,"132,230",PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,-
12,Dune,2021,8.0,74,"719,312",PG-13,"['Action', ' Adventure', ' Drama']",155,$108.33M
13,The Toxic Avenger,2023,5.9,66,216,R,"['Action', ' Comedy', ' Horror']",102,-
14,Interstellar,2014,8.7,74,"1,997,662",PG-13,"['Adventure', ' Drama', ' Sci-Fi']",169,$188.02M
15,The Flash,2023,6.7,55,"178,553",PG-13,"['Action', ' Adventure', ' Fantasy']",144,-
16,The Meg,2018,5.6,46,"199,296",PG-13,"['Action', ' Horror', ' Sci-Fi']",113,$143.01M
17,65,2023,5.4,40,"73,789",PG-13,"['Action', ' Adventure', ' Drama']",93,-
18,Infinite,2021,5.5,28,"57,479",PG-13,"['Action', ' Sci-Fi', ' Thriller']",106,-
19,Foe,2023,5.5,40,166,R,"['Drama', ' Sci-Fi', ' Thriller']",110,-
20,Alien,1979,8.5,89,"921,911",R,"['Horror', ' Sci-Fi']",117,$78.90M
21,Everything Everywhere All at Once,2022,7.8,81,"482,366",R,"['Action', ' Adventure', ' Comedy']",139,$72.86M
22,Inception,2010,8.8,74,"2,474,955",PG-13,"['Action', ' Adventure', ' Sci-Fi']",148,$292.58M
23,Transformers: Rise of the Beasts,2023,6.1,42,"83,358",PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,-
24,Avatar: The Way of Water,2022,7.6,67,"462,692",PG-13,"['Action', ' Adventure', ' Fantasy']",192,$659.68M
25,Fingernails,2023,6.7,60,196,R,"['Drama', ' Romance', ' Sci-Fi']",113,-
26,Blade Runner 2049,2017,8.0,81,"626,464",R,"['Action', ' Drama', ' Mystery']",164,$92.05M
27,Spy Kids: Armageddon,2023,4.3,55,"2,185",PG,"['Action', ' Comedy', ' Family']",97,-
28,The Hunger Games,2012,7.2,68,"963,244",PG-13,"['Action', ' Adventure', ' Sci-Fi']",142,$408.01M
29,Prey,2022,7.1,71,"215,120",R,"['Action', ' Adventure', ' Drama']",100,-
30,M3GAN,2022,6.4,72,"126,746",PG-13,"['Horror', ' Sci-Fi', ' Thriller']",102,$93.88M
31,Rogue One: A Star Wars Story,2016,7.8,65,"669,479",PG-13,"['Action', ' Adventure', ' Sci-Fi']",133,$532.18M
32,The Prestige,2006,8.5,66,"1,400,258",PG-13,"['Drama', ' Mystery', ' Sci-Fi']",130,$53.09M
33,The Thing,1982,8.2,57,"449,019",16+,"['Horror', ' Mystery', ' Sci-Fi']",109,$13.78M
34,Back to the Future,1985,8.5,87,"1,266,907",PG,"['Adventure', ' Comedy', ' Sci-Fi']",116,$210.61M
35,Infinity Pool,2023,6.1,72,"43,052",R,"['Crime', ' Horror', ' Mystery']",117,-
36,Mad Max: Fury Road,2015,8.1,90,"1,051,109",R,"['Action', ' Adventure', ' Sci-Fi']",120,$154.06M
37,Spider-Man: No Way Home,2021,8.2,71,"834,824",PG-13,"['Action', ' Adventure', ' Fantasy']",148,$804.75M
38,The Matrix,1999,8.7,73,"1,995,561",R,"['Action', ' Sci-Fi']",136,$171.48M
39,Ghostbusters,1984,7.8,71,"432,900",PG,"['Action', ' Comedy', ' Fantasy']",105,$238.63M
40,Tenet,2020,7.3,69,"563,340",PG-13,"['Action', ' Sci-Fi', ' Thriller']",150,$58.46M
41,Free Guy,2021,7.1,62,"403,980",PG-13,"['Action', ' Adventure', ' Comedy']",115,$121.63M
42,In Time,2011,6.7,53,"433,679",PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,$37.52M
43,Jules,2023,6.8,57,"4,356",PG-13,"['Comedy', ' Drama', ' Sci-Fi']",87,-
44,Avengers: Endgame,2019,8.4,78,"1,218,385",PG-13,"['Action', ' Adventure', ' Drama']",181,$858.37M
45,Mortal Kombat,2021,6.1,44,"185,064",R,"['Action', ' Adventure', ' Fantasy']",110,$42.20M
46,Jurassic Park,1993,8.2,68,"1,037,160",PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,$402.45M
47,Arrival,2016,7.9,81,"739,652",PG-13,"['Drama', ' Mystery', ' Sci-Fi']",116,$100.55M
48,Nope,2022,6.8,77,"245,527",R,"['Horror', ' Mystery', ' Sci-Fi']",130,$123.28M
49,Star Wars: Episode IV - A New Hope,1977,8.6,90,"1,416,684",PG,"['Action', ' Adventure', ' Fantasy']",121,$322.74M
50,Prometheus,2012,7.0,64,"629,633",R,"['Adventure', ' Mystery', ' Sci-Fi']",124,$126.48M
51,The Suicide Squad,2021,7.2,72,"387,676",R,"['Action', ' Adventure', ' Comedy']",132,$55.82M
52,The Faculty,1998,6.6,61,"131,702",R,"['Horror', ' Mystery', ' Sci-Fi']",104,$40.06M
53,Donnie Darko,2001,8.0,88,"831,437",R,"['Drama', ' Mystery', ' Sci-Fi']",113,$1.48M
54,Watchmen,2009,7.6,56,"570,593",R,"['Action', ' Drama', ' Mystery']",162,$107.51M
55,Aliens,1986,8.4,84,"744,755",R,"['Action', ' Adventure', ' Sci-Fi']",137,$85.16M
56,Blade Runner,1982,8.1,84,"802,159",R,"['Action', ' Drama', ' Sci-Fi']",117,$32.87M
57,Vanilla Sky,2001,6.9,45,"280,436",R,"['Fantasy', ' Mystery', ' Romance']",136,$100.61M
58,Dark City,1998,7.6,66,"208,227",R,"['Fantasy', ' Mystery', ' Sci-Fi']",100,$14.38M
59,Ghostbusters: Afterlife,2021,7.1,45,"201,625",PG-13,"['Adventure', ' Comedy', ' Fantasy']",124,$129.36M
60,Monsters,2010,6.4,63,"95,666",R,"['Adventure', ' Drama', ' Romance']",94,$0.24M
61,A Clockwork Orange,1971,8.3,77,"861,653",R,"['Crime', ' Sci-Fi']",136,$6.21M
62,The Toxic Avenger,1984,6.2,42,"30,909",R,"['Action', ' Comedy', ' Horror']",82,-
63,Spider-Man: Into the Spider-Verse,2018,8.4,87,"633,096",PG,"['Animation', ' Action', ' Adventure']",117,$190.24M
64,Star Wars: Episode I - The Phantom Menace,1999,6.5,51,"837,413",PG,"['Action', ' Adventure', ' Fantasy']",136,$474.54M
65,The Mist,2007,7.1,58,"329,552",R,"['Horror', ' Sci-Fi', ' Thriller']",126,$25.59M
66,Event Horizon,1997,6.6,35,"191,624",R,"['Horror', ' Sci-Fi', ' Thriller']",96,$26.67M
67,Suicide Squad,2016,5.9,40,"709,008",PG-13,"['Action', ' Adventure', ' Fantasy']",123,$325.10M
68,2001: A Space Odyssey,1968,8.3,84,"700,116",G,"['Adventure', ' Sci-Fi']",149,$56.95M
69,The Fifth Element,1997,7.6,52,"493,213",PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,$63.54M
70,Ant-Man and the Wasp: Quantumania,2023,6.1,48,"206,794",PG-13,"['Action', ' Adventure', ' Comedy']",124,-
